shape_id,shape_name,theta_eff,beta,param1,param2,aspect_ratio_cav,dc_mm,D_body_mm,D_hemi_mm,L_total_mm,L_cyl_mm,dc_D_ratio,sigma_c,Re,U_ms,depth_m,Froude,Cdp,Csf,Cd,L_tilde,D_tilde,cavity_covers,drag_red_pct
3,spherical,27.5445,0.4624,1.8274,0.0,0.9137,12.0,30.0,15.0,115.0,85.0,0.4,0.21603,3818435.0,33.27,21.33,31.3236,0.299304,0.201859,0.614069,1.0669,1.0142,0,31.442
4,elliptical,46.0281,0.7197,1.8214,0.0,1.8214,12.0,30.0,15.0,115.0,85.0,0.4,0.06426,1671333.0,14.562,31.81,13.7104,0.511428,0.0,0.606901,7.1464,2.5702,0,100.0
4,elliptical,34.5201,0.5667,2.5289,0.0,2.5289,12.0,30.0,15.0,115.0,85.0,0.4,0.25607,3446956.0,30.033,35.11,28.2763,0.422888,0.226452,0.763071,1.1524,1.04,0,31.906
3,spherical,21.424,0.3653,2.3722,0.0,1.1861,12.0,30.0,15.0,115.0,85.0,0.4,0.10072,4021217.0,35.037,16.28,32.9871,0.191734,0.19956,0.494049,1.655,1.2788,0,38.916
2,truncated_cone,60.9869,0.8745,73.3927,0.6761,0.9149,12.0,30.0,15.0,115.0,85.0,0.4,0.14471,3229781.0,28.141,0.05,26.4947,0.765465,0.105169,0.977298,4.4396,2.0707,0,69.185
4,elliptical,55.154,0.8207,1.4566,0.0,1.4566,12.0,30.0,15.0,115.0,85.0,0.4,0.29153,2596543.0,22.624,17.75,21.3001,0.773132,0.210039,1.096773,1.9444,1.4268,0,37.089
3,spherical,39.1868,0.6319,1.252,0.0,0.626,12.0,30.0,15.0,115.0,85.0,0.4,0.05894,2270955.0,19.787,45.01,18.6292,0.418712,0.024306,0.540445,6.5505,2.5809,0,92.894
3,spherical,20.9799,0.358,2.4239,0.0,1.2119,12.0,30.0,15.0,115.0,85.0,0.4,0.31209,352740.0,3.073,23.97,2.8936,0.229506,0.40478,0.7521,0.5252,0.7272,0,0.0
5,ogive_polynomial,43.3696,0.6867,2.5674,0.0,0.7702,12.0,30.0,15.0,115.0,85.0,0.4,0.27295,2813714.0,24.516,10.96,23.0816,0.584605,0.220066,0.920064,1.6347,1.2609,0,33.224
0,disc,90.0,1.0,90.0,0.0,0.0385,12.0,30.0,15.0,115.0,85.0,0.4,0.3855,2619692.0,22.825,20.2,21.49,1.123416,0.205485,1.447924,2.1317,1.4985,0,38.386
4,elliptical,29.6464,0.4946,2.9837,0.0,2.9837,12.0,30.0,15.0,115.0,85.0,0.4,0.38595,582207.0,5.073,30.14,4.776,0.378912,0.343719,0.839541,0.6058,0.7782,0,0.0
0,disc,90.0,1.0,90.0,0.0,0.0335,12.0,30.0,15.0,115.0,85.0,0.4,0.15276,2700771.0,23.532,33.28,22.1551,0.938712,0.074539,1.119087,5.6709,2.3231,0,78.142
3,spherical,20.95,0.3576,2.4274,0.0,1.2137,12.0,30.0,15.0,115.0,85.0,0.4,0.31705,355235.0,3.095,29.87,2.9141,0.223769,0.405894,0.746733,0.5245,0.7441,0,0.0
5,ogive_polynomial,43.0489,0.6826,2.6032,0.0,0.7809,12.0,30.0,15.0,115.0,85.0,0.4,0.09407,2033820.0,17.721,47.16,16.684,0.483272,0.104759,0.687853,4.5556,2.1612,0,67.942
5,ogive_polynomial,42.6139,0.6771,2.6532,0.0,0.796,12.0,30.0,15.0,115.0,85.0,0.4,0.29226,408311.0,3.558,28.32,3.3495,0.553168,0.342575,1.010453,1.4652,1.27,0,0.0
5,ogive_polynomial,35.6293,0.5825,3.8389,0.0,1.1517,12.0,30.0,15.0,115.0,85.0,0.4,0.38807,3164976.0,27.577,33.59,25.9631,0.479968,0.240652,0.837375,0.8628,0.9159,0,26.029
1,cone,79.4486,0.9831,79.4486,0.0,0.0931,12.0,30.0,15.0,115.0,85.0,0.4,0.35164,2815999.0,24.536,3.75,23.1004,1.085148,0.198296,1.401054,2.3228,1.4603,0,40.952
5,ogive_polynomial,47.1173,0.7327,2.2126,0.0,0.6638,12.0,30.0,15.0,115.0,85.0,0.4,0.06943,2018421.0,17.587,34.97,16.5576,0.522997,0.003101,0.622151,6.9195,2.7078,0,99.064
4,elliptical,66.5064,0.9171,1.1277,0.0,1.1277,12.0,30.0,15.0,115.0,85.0,0.4,0.07926,1469256.0,12.802,45.29,12.0527,0.79033,0.0,0.888823,8.7227,2.995,0,100.0
1,cone,35.4423,0.5799,35.4423,0.0,0.7025,12.0,30.0,15.0,115.0,85.0,0.4,0.15703,2216534.0,19.313,5.79,18.1828,0.399828,0.205854,0.713243,2.1011,1.4546,0,36.802
3,spherical,50.799,0.7749,0.9316,0.0,0.4658,12.0,30.0,15.0,115.0,85.0,0.4,0.13327,2580126.0,22.481,39.25,21.1654,0.607067,0.126051,0.836564,4.0156,1.9812,0,61.722
1,cone,68.6182,0.9312,68.6182,0.0,0.1958,12.0,30.0,15.0,115.0,85.0,0.4,0.11131,1308953.0,11.405,13.14,10.7377,0.807943,0.029911,0.940164,6.5116,2.6429,0,91.255
2,truncated_cone,31.2339,0.5185,33.317,0.2501,0.5864,12.0,30.0,15.0,115.0,85.0,0.4,0.26308,2825470.0,24.618,25.56,23.1781,0.367902,0.237853,0.719428,1.0762,1.0453,0,26.828
3,spherical,34.4326,0.5654,1.4415,0.0,0.7208,12.0,30.0,15.0,115.0,85.0,0.4,0.3152,3252965.0,28.343,18.42,26.6849,0.439489,0.242852,0.798789,1.0077,1.007,0,28.253
1,cone,50.2438,0.7688,50.2438,0.0,0.4159,12.0,30.0,15.0,115.0,85.0,0.4,0.26473,251375.0,2.19,8.85,2.0621,0.681208,0.345699,1.141854,1.9703,1.4402,0,0.0
1,cone,40.9316,0.6552,40.9316,0.0,0.5766,12.0,30.0,15.0,115.0,85.0,0.4,0.17062,4077587.0,35.528,24.7,33.4495,0.483037,0.182889,0.77451,2.4017,1.4542,0,46.819
